brand,attributes
charlotte tilbury,"wrinkles, conditioning, antioxidant, natural finish, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, buildable, weightless, nourishing, long-wearing, anti-aging, vegan, spf, soothing, smudge-proof, collagen, dry skin, blurring, satin, hydrating, clean, matte, hyaluronic acid, waterproof, medium coverage, niacinamide, second-skin, plumping, oil-free, radiant, shimmer, non-greasy, peptide, green tea, light coverage, gluten-free, sheer, smooth, vitamin e"
refy,"antioxidant, natural finish, fine lines, dewy, cruelty-free, moisturizing, buildable, weightless, nourishing, long-wearing, vegan, collagen, blurring, hydrating, matte, hyaluronic acid, non-sticky, medium coverage, niacinamide, non-drying, plumping, radiant, shea butter, gluten-free, smooth, vitamin e"
lys beauty,"wrinkles, antioxidant, natural finish, fine lines, dewy, cruelty-free, buildable, nourishing, weightless, long-wearing, uneven tone, vegan, soothing, protection, dry skin, blurring, satin, hydrating, clean, matte, hyaluronic acid, non-sticky, medium coverage, niacinamide, longwearing, radiant, shimmer, non-greasy, green tea, gluten-free, smooth, vitamin e"
hourglass,"wrinkles, conditioning, natural finish, squalane, fine lines, dewy, cruelty-free, buildable, nourishing, weightless, long-wearing, anti-aging, vegan, spf, soothing, full coverage, smudge-proof, protection, blurring, satin, hydrating, clean, matte, hyaluronic acid, beeswax, waterproof, medium coverage, non-drying, oil free, plumping, oil-free, radiant, shimmer, gluten-free, sheer, smooth, vitamin e"
makeup by mario,"conditioning, antioxidant, non-comedogenic, natural finish, vitamin c, dewy, cruelty-free, moisturizing, fragrance-free, buildable, weightless, nourishing, long-wearing, vegan, full coverage, smudge-proof, collagen, blurring, satin, hydrating, clean, matte, paraben-free, hyaluronic acid, waterproof, paraben free, medium coverage, niacinamide, second-skin, non-drying, noncomedogenic, radiant, shimmer, shea butter, gluten-free, sheer, smooth, vitamin e"
nars,"wrinkles, conditioning, antioxidant, natural finish, squalane, fine lines, cruelty-free, moisturizing, uneven texture, fragrance-free, buildable, weightless, nourishing, long-wearing, anti-aging, vegan, spf, full coverage, smudge-proof, protection, blurring, satin, hydrating, clean, matte, hyaluronic acid, algae, waterproof, transfer-proof, niacinamide, second-skin, skin-enhancing, plumping, radiant, shimmer, non-greasy, shea butter, sensitive skin, gluten-free, oil-control, sheer, smooth, vitamin e"
shiseido,"wrinkles, long-wearing, smooth, non-comedogenic, medium coverage, niacinamide, spf, fine lines, full coverage, dermatologist tested, protection, buildable, radiant, weightless"
urban decay,"wrinkles, glowy, conditioning, antioxidant, non-comedogenic, castor oil, natural finish, vitamin c, fine lines, dewy, cruelty-free, moisturizing, fragrance-free, buildable, nourishing, weightless, long-wearing, anti-aging, vegan, oily skin, soothing, full coverage, smudge-proof, collagen, dry skin, blurring, satin, hydrating, clean, matte, hyaluronic acid, waterproof, transfer-proof, medium coverage, niacinamide, second-skin, shine-free, oil control, noncomedogenic, oil-free, radiant, shimmer, sensitive skin, gluten-free, sheer, smooth, vitamin e, transfer resistant"
fenty skin,"wrinkles, conditioning, murumuru, antioxidant, natural finish, vitamin c, fine lines, cruelty-free, nourishing, vegan, spf, lanolin, protection, hydrating, clean, matte, hyaluronic acid, niacinamide, green tea, gluten-free, bha, smooth"
tarte,"wrinkles, conditioning, antioxidant, castor oil, natural finish, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, buildable, weightless, nourishing, long-wearing, anti-aging, vegan, spf, soothing, lanolin, full coverage, smudge-proof, protection, collagen, blurring, satin, hydrating, matte, hyaluronic acid, combination skin, waterproof, non-sticky, medium coverage, niacinamide, transfer-proof, shine-free, oil free, plumping, dermatologist tested, oil-free, radiant, shimmer, peptide, shea butter, light coverage, gluten-free, sheer, smooth, vitamin e"
dior,"glowy, wrinkles, antioxidant, squalane, fine lines, cruelty-free, buildable, weightless, nourishing, long-wearing, vegan, spf, full coverage, blurring, satin, hydrating, matte, hyaluronic acid, waterproof, non-sticky, transfer-proof, second-skin, shine-free, plumping, longwearing, radiant, shimmer, non-greasy, shea butter, gluten-free, smooth"
anastasia beverly hills,"glowy, wrinkles, non-comedogenic, natural finish, fine lines, dewy, cruelty-free, buildable, weightless, long-wearing, vegan, oily skin, soothing, full coverage, smudge-proof, collagen, dry skin, blurring, satin, hydrating, clean, matte, hyaluronic acid, beeswax, waterproof, non-sticky, medium coverage, niacinamide, second-skin, plumping, radiant, shimmer, peptide, non-greasy, light coverage, gluten-free, sheer, smooth, vitamin e"
too faced,"conditioning, non-comedogenic, natural finish, squalane, fine lines, dewy, cruelty-free, moisturizing, buildable, weightless, nourishing, long-wearing, vegan, full coverage, smudge-proof, collagen, blurring, satin, hydrating, matte, hyaluronic acid, algae, waterproof, non-sticky, second-skin, non-drying, oil control, plumping, longwearing, noncomedogenic, oil-free, radiant, shimmer, shea butter, green tea, gluten-free, sheer, smooth, vitamin e, transfer resistant"
the ordinary,"cruelty-free, vegan, gluten-free, nourishing"
natasha denona,"conditioning, antioxidant, natural finish, dewy, cruelty-free, moisturizing, buildable, nourishing, weightless, long-wearing, anti-aging, vegan, soothing, full coverage, satin, hydrating, matte, paraben-free, hyaluronic acid, waterproof, non-sticky, non-drying, radiant, peptide, cruelty free, gluten-free, sheer, smooth"
make up for ever,"glowy, wrinkles, non-comedogenic, natural finish, ceramide, fine lines, cruelty-free, moisturizing, fragrance-free, buildable, weightless, long-wearing, vegan, oily skin, soothing, full coverage, smudge-proof, dry skin, blurring, satin, hydrating, matte, hyaluronic acid, waterproof, transfer-proof, medium coverage, non-sticky, second-skin, skin-enhancing, non-drying, plumping, longwearing, oil-free, radiant, shimmer, sensitive skin, gluten-free, smooth"
fenty beauty by rihanna,"glowy, conditioning, natural finish, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, buildable, nourishing, weightless, long-wearing, vegan, oily skin, full coverage, dry skin, blurring, satin, hydrating, matte, hyaluronic acid, waterproof, non-sticky, medium coverage, second-skin, shine-free, non-drying, plumping, longwearing, oil-free, radiant, shimmer, non-greasy, shea butter, cruelty free, gluten-free, sheer, smooth, vitamin e"
danessa myricks beauty,"wrinkles, conditioning, antioxidant, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, fragrance-free, buildable, nourishing, long-wearing, uneven tone, anti-aging, vegan, acne-prone, soothing, full coverage, collagen, dry skin, blurring, satin, hydrating, matte, hyaluronic acid, waterproof, niacinamide, shine-free, oil control, radiant, shimmer, shea butter, light coverage, gluten-free, sheer, smooth, vitamin e"
pat mcgrath labs,"wrinkles, conditioning, antioxidant, non-comedogenic, squalane, fine lines, dewy, cruelty-free, buildable, weightless, nourishing, long-wearing, vegan, soothing, full coverage, smudge-proof, collagen, blurring, satin, hydrating, matte, hyaluronic acid, waterproof, medium coverage, second-skin, non-drying, radiant, shimmer, shea butter, gluten-free, sheer, smooth, vitamin e"
laneige,"wrinkles, glowy, murumuru, shea butter, hyaluronic acid, hydrating, vegan, gluten-free, vitamin c, ceramide, fine lines, dermatologist tested, collagen, smooth, nourishing"
lawless,"wrinkles, antioxidant, castor oil, non-comedogenic, squalane, fine lines, cruelty-free, uneven texture, fragrance-free, buildable, weightless, nourishing, long-wearing, vegan, soothing, full coverage, protection, collagen, blurring, satin, hydrating, clean, matte, paraben-free, hyaluronic acid, beeswax, plumping, oil-free, shea butter, green tea, sensitive skin, gluten-free, sheer, smooth, vitamin e"
grande cosmetics,"conditioning, peptide, hyaluronic acid, castor oil, non-sticky, vegan, vitamin e, cruelty-free, plumping, buildable, clean, hydrating, nourishing"
yves saint laurent,"wrinkles, antioxidant, non-comedogenic, fine lines, dewy, moisturizing, fragrance-free, buildable, nourishing, weightless, long-wearing, vegan, spf, soothing, full coverage, smudge-proof, protection, blurring, satin, hydrating, clean, matte, paraben-free, hyaluronic acid, waterproof, non-sticky, transfer-proof, niacinamide, second-skin, medium coverage, non-drying, skin-enhancing, radiant, shimmer, non-greasy, shea butter, light coverage, sheer, smooth, vitamin e"
kaja,"antioxidant, vitamin c, squalane, dewy, cruelty-free, moisturizing, buildable, nourishing, long-wearing, vegan, smudge-proof, hydrating, matte, hyaluronic acid, waterproof, medium coverage, shimmer, green tea, gluten-free, sheer, smooth, vitamin e"
melt cosmetics,"radiant, vegan, gluten-free, second-skin, dewy, cruelty-free, sheer, buildable, satin, smooth, matte"
tom ford,"conditioning, antioxidant, vitamin c, fine lines, cruelty-free, moisturizing, buildable, weightless, nourishing, long-wearing, anti-aging, vegan, smudge-proof, protection, blurring, satin, hydrating, clean, matte, hyaluronic acid, algae, waterproof, medium coverage, second-skin, non-drying, oil control, radiant, shimmer, gluten-free, sheer, smooth, vitamin e"
gisou,"hyaluronic acid, antioxidant, hydrating, non-sticky, cruelty-free, clean, smooth, nourishing, shimmer"
haus labs by lady gaga,"conditioning, antioxidant, non-comedogenic, squalane, fine lines, cruelty-free, moisturizing, buildable, weightless, long-wearing, vegan, protection, collagen, blurring, hydrating, clean, matte, hyaluronic acid, waterproof, non-sticky, medium coverage, niacinamide, transfer-proof, second-skin, plumping, radiant, shimmer, shea butter, gluten-free, sheer, smooth, vitamin e"
glow recipe,"glowy, wrinkles, antioxidant, vitamin c, fine lines, dewy, cruelty-free, moisturizing, uneven texture, buildable, uneven tone, vegan, protection, blurring, satin, hydrating, clean, matte, hyaluronic acid, niacinamide, gluten-free, sheer, bha, smooth"
kosas,"wrinkles, glowy, antioxidant, non-comedogenic, castor oil, natural finish, squalane, fine lines, cruelty-free, buildable, weightless, nourishing, long-wearing, vegan, spf, soothing, sunscreen, collagen, satin, hydrating, clean, matte, hyaluronic acid, algae, waterproof, non-sticky, medium coverage, niacinamide, longwearing, plumping, dermatologist tested, noncomedogenic, radiant, peptide, sensitive skin, gluten-free, allergy tested, sheer, smooth, vitamin e"
merit,"non-comedogenic, squalane, fine lines, dewy, cruelty-free, moisturizing, buildable, nourishing, acne-prone, vegan, soothing, full coverage, smudge-proof, protection, blurring, satin, hydrating, clean, matte, hyaluronic acid, non-sticky, shea butter, gluten-free, sheer, smooth, vitamin e"
augustinus bader,"cruelty-free, vegan, gluten-free, sensitive skin"
prada beauty,"glowy, aha, medium coverage, niacinamide, squalane, spf, vitamin e, fine lines, sheer, moisturizing, sunscreen, bha, buildable, smooth, weightless, matte"
lancôme,"conditioning, antioxidant, anti-pollution, squalane, fine lines, cruelty-free, moisturizing, buildable, nourishing, long-wearing, vegan, spf, oily skin, soothing, full coverage, smudge-proof, sunscreen, dry skin, blurring, hydrating, clean, matte, hyaluronic acid, waterproof, non-sticky, medium coverage, shine-free, oil-free, radiant, non-greasy, shea butter, sensitive skin, gluten-free, sheer, witch hazel, smooth, vitamin e"
topicals,"wrinkles, peptide, hyaluronic acid, vegan, gluten-free, ceramide, fine lines, soothing, cruelty-free, retinol, matte"
gxve by gwen stefani,"antioxidant, non-comedogenic, squalane, fine lines, dewy, cruelty-free, moisturizing, buildable, weightless, nourishing, long-wearing, vegan, soothing, smudge-proof, collagen, blurring, satin, hydrating, clean, matte, waterproof, transfer-proof, non-sticky, plumping, radiant, shimmer, gluten-free, sheer, smooth, vitamin e"
nudestix,"wrinkles, conditioning, murumuru, antioxidant, glowy, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, fragrance-free, buildable, aha, nourishing, long-wearing, vegan, spf, soothing, sunscreen, protection, collagen, dry skin, satin, hydrating, clean, matte, hyaluronic acid, algae, waterproof, non-sticky, niacinamide, non-drying, plumping, dermatologist tested, longwearing, oil-free, radiant, shimmer, kiss-proof, peptide, green tea, shea butter, sensitive skin, gluten-free, sheer, smooth, vitamin e"
dominique cosmetics,"vegan, cruelty-free, matte, satin, shimmer"
artist couture,"cruelty-free, vegan, gluten-free, matte"
laura mercier,"wrinkles, conditioning, antioxidant, natural finish, ceramide, vitamin c, fine lines, dewy, cruelty-free, moisturizing, fragrance-free, buildable, weightless, long-wearing, vegan, spf, smudge-proof, sunscreen, protection, dry skin, blurring, hydrating, matte, hyaluronic acid, algae, waterproof, transfer-proof, medium coverage, shine-free, non-drying, dermatologist tested, noncomedogenic, oil-free, radiant, shimmer, green tea, gluten-free, sheer, smooth, vitamin e"
viseart,"non-sticky, vegan, gluten-free, cruelty-free, satin, hydrating, weightless, matte"
westman atelier,"wrinkles, antioxidant, non-comedogenic, natural finish, vitamin c, squalane, fine lines, dewy, cruelty-free, uneven texture, fragrance-free, buildable, nourishing, weightless, vegan, soothing, full coverage, collagen, hydrating, clean, matte, hyaluronic acid, medium coverage, niacinamide, dermatologist tested, radiant, shimmer, shea butter, gluten-free, sheer, smooth"
house of lashes,"waterproof, vegan, gluten-free, cruelty-free, weightless"
la mer,"wrinkles, conditioning, hydrating, smooth, medium coverage, spf, fine lines, full coverage, sheer, uneven texture, protection, plumping, sunscreen, buildable, radiant, weightless"
clinique,"natural finish, vitamin c, dewy, cruelty-free, moisturizing, fragrance-free, buildable, nourishing, weightless, long-wearing, vegan, spf, soothing, full coverage, sunscreen, protection, dry skin, blurring, hydrating, clean, matte, hyaluronic acid, waterproof, non-sticky, non-drying, plumping, oil-free, radiant, non-greasy, shea butter, sensitive skin, allergy tested, gluten-free, sheer, smooth"
armani beauty,"glowy, squalane, fine lines, dewy, moisturizing, buildable, weightless, spf, full coverage, protection, blurring, satin, hydrating, matte, waterproof, medium coverage, niacinamide, second-skin, non-drying, plumping, oil-free, radiant, shea butter, sheer, smooth, vitamin e"
sephora favorites,"glowy, conditioning, hyaluronic acid, peptide, medium coverage, blurring, plumping, sheer, oil-free, satin, radiant, matte"
sol de janeiro,"conditioning, dewy, antioxidant, nourishing"
olehenriksen,"wrinkles, antioxidant, hydrating, vegan, gluten-free, vitamin c, fine lines, vitamin e, dewy, cruelty-free, sheer, uneven texture, blurring, clean, smooth, nourishing"
glamnetic,"cruelty-free, vegan, gluten-free"
sunday riley,"wrinkles, vegan, gluten-free, fine lines, cruelty-free"
estée lauder,"hyaluronic acid, antioxidant, radiant, waterproof, spf, fragrance-free, full coverage, protection, oil-free, buildable, smooth, vitamin e, matte"
dr. jart+,"hyaluronic acid, smooth, protection, natural finish, niacinamide, ceramide, spf, dewy, sunscreen, dermatologist tested, uneven texture, moisturizing, hydrating, weightless"
gucci,"wrinkles, antioxidant, natural finish, squalane, fine lines, fragrance-free, buildable, weightless, nourishing, long-wearing, vegan, soothing, full coverage, blurring, satin, hydrating, matte, hyaluronic acid, algae, waterproof, non-sticky, transfer-proof, second-skin, plumping, shea butter, sensitive skin, gluten-free, sheer, smooth, vitamin e"
drunk elephant,"wrinkles, antioxidant, ceramide, vitamin c, fine lines, dewy, cruelty-free, moisturizing, uneven texture, buildable, nourishing, uneven tone, vegan, soothing, sunscreen, collagen, dry skin, clean, niacinamide, peptide, shea butter, green tea, sensitive skin, smooth"
duo,
iconic london,"glowy, conditioning, wrinkles, antioxidant, anti-pollution, natural finish, vitamin c, fine lines, dewy, cruelty-free, uneven texture, buildable, weightless, nourishing, long-wearing, vegan, collagen, blurring, satin, hydrating, matte, hyaluronic acid, non-sticky, medium coverage, second-skin, plumping, noncomedogenic, oil-free, radiant, shimmer, non-greasy, peptide, green tea, gluten-free, sheer, smooth, vitamin e"
beautyblender,"antioxidant, natural finish, ceramide, vitamin c, fine lines, cruelty-free, uneven texture, buildable, weightless, vegan, soothing, protection, blurring, hydrating, clean, matte, hyaluronic acid, niacinamide, second-skin, oil-free, radiant, peptide, gluten-free, smooth"
kvd beauty,"wrinkles, non-comedogenic, fine lines, dewy, cruelty-free, moisturizing, fragrance-free, buildable, weightless, nourishing, long-wearing, vegan, full coverage, blurring, satin, hydrating, matte, waterproof, transfer-proof, shine-free, non-drying, shimmer, gluten-free, smooth, vitamin e"
stila,"long-wearing, smooth, waterproof, fine lines, oil control, cruelty-free, sheer, moisturizing, buildable, hydrating, shimmer"
valentino,"shimmer, hyaluronic acid, smooth, hydrating, waterproof, medium coverage, satin, second-skin, non-drying, moisturizing, sheer, buildable, radiant, vitamin e, matte"
bobbi brown,"wrinkles, antioxidant, vitamin c, squalane, fine lines, cruelty-free, moisturizing, buildable, nourishing, weightless, long-wearing, vegan, spf, oily skin, full coverage, smudge-proof, protection, blurring, satin, hydrating, matte, hyaluronic acid, beeswax, waterproof, medium coverage, niacinamide, plumping, oil-free, radiant, shimmer, peptide, shea butter, gluten-free, sheer, smooth, vitamin e"
it cosmetics,"wrinkles, conditioning, antioxidant, non-comedogenic, natural finish, ceramide, fragrance free, vitamin c, fine lines, cruelty-free, buildable, weightless, nourishing, long-wearing, anti-aging, vegan, spf, oily skin, full coverage, sunscreen, protection, collagen, dry skin, blurring, hydrating, matte, hyaluronic acid, waterproof, medium coverage, niacinamide, plumping, radiant, green tea, sensitive skin, gluten-free, smooth, vitamin e"
lilly lashes,"long-wearing, waterproof, vegan, gluten-free, cruelty-free, sheer, oil-free, clean"
mario badescu,"conditioning, antioxidant, gluten-free, soothing, cruelty-free, moisturizing, vitamin e"
the original makeup eraser,"sensitive skin, waterproof, non-comedogenic, vegan, gluten-free, cruelty-free, sunscreen, oil-free"
farmacy,"wrinkles, peptide, beeswax, vegan, gluten-free, vitamin c, fine lines, cruelty-free, smooth, nourishing"
smashbox,"long-wearing, waterproof, vegan, gluten-free, fine lines, cruelty-free, oil-free, buildable, vitamin e, matte"
rose inc,"antioxidant, non-comedogenic, natural finish, squalane, fine lines, cruelty-free, moisturizing, buildable, nourishing, weightless, long-wearing, vegan, acne-prone, full coverage, protection, hydrating, clean, matte, medium coverage, longwearing, radiant, gluten-free, sheer, smooth, vitamin e"
jack black,"paraben-free, shea butter, green tea, gluten-free, hydrating, vitamin e"
shani darden skin care,"collagen, wrinkles, fine lines, protection"
innbeauty project,"peptide, hyaluronic acid, non-sticky, vegan, gluten-free, squalane, weightless, cruelty-free, plumping, sheer, clean, smooth, nourishing"
givenchy,"antioxidant, non-comedogenic, ceramide, vitamin c, cruelty-free, buildable, weightless, nourishing, long-wearing, vegan, soothing, full coverage, blurring, satin, hydrating, matte, hyaluronic acid, waterproof, medium coverage, second-skin, plumping, radiant, shea butter, gluten-free, sheer, smooth, vitamin e"
supergoop!,"glowy, wrinkles, conditioning, antioxidant, murumuru, natural finish, fine lines, cruelty-free, buildable, weightless, nourishing, vegan, spf, soothing, full coverage, sunscreen, protection, clean, matte, hyaluronic acid, algae, niacinamide, radiant, shea butter, sensitive skin, gluten-free, sheer, smooth"
tatcha,"wrinkles, anti-pollution, squalane, fine lines, dewy, cruelty-free, moisturizing, uneven texture, buildable, nourishing, weightless, anti-aging, vegan, spf, soothing, lanolin, sunscreen, protection, satin, hydrating, clean, hyaluronic acid, algae, non-sticky, non-drying, dermatologist tested, noncomedogenic, green tea, smooth"
isle of paradise,"uneven tone, antioxidant, hydrating, niacinamide, vitamin c, squalane, radiant, clean"
ami colé,"dewy, cruelty-free, buildable, nourishing, long-wearing, vegan, blurring, hydrating, clean, matte, hyaluronic acid, waterproof, non-sticky, medium coverage, shimmer, shea butter, gluten-free, sheer, vitamin e"
kulfi,"nourishing, antioxidant, hydrating, radiant, waterproof, vegan, cruelty free, medium coverage, satin, gluten-free, cruelty-free, moisturizing, buildable, clean, smooth, vitamin e, shimmer"
cay skin,"antioxidant, smooth, non-sticky, vegan, gluten-free, niacinamide, spf, cruelty-free, sunscreen, protection, hydrating, vitamin e"
hello sunday,"wrinkles, hyaluronic acid, shea butter, smooth, sensitive skin, vegan, gluten-free, vitamin c, squalane, spf, fine lines, cruelty-free, sunscreen, protection, fragrance-free, hydrating, vitamin e, shimmer"
caliray,"wrinkles, glowy, conditioning, non-comedogenic, natural finish, ceramide, squalane, fine lines, dewy, cruelty-free, buildable, long-wearing, vegan, collagen, blurring, hydrating, clean, matte, hyaluronic acid, waterproof, transfer-proof, niacinamide, oil control, longwearing, plumping, noncomedogenic, radiant, pore-minimizing, shimmer, peptide, gluten-free, sheer, smooth, vitamin e"
bareminerals,"conditioning, antioxidant, natural finish, squalane, fine lines, dewy, cruelty-free, uneven texture, buildable, weightless, nourishing, long-wearing, vegan, spf, soothing, full coverage, sunscreen, smudge-proof, protection, dry skin, blurring, satin, hydrating, clean, matte, hyaluronic acid, algae, waterproof, transfer-proof, non-drying, oil control, plumping, oil-free, radiant, peptide, light coverage, gluten-free, sheer, smooth, vitamin e"
velour lashes,"green tea, vegan, gluten-free, vitamin e, soothing, cruelty-free, weightless"
herbivore,"shea butter, vegan, gluten-free, vegan wax, cruelty-free, sheer, hydrating, clean"
guerlain,"wrinkles, shimmer, hyaluronic acid, shea butter, beeswax, hydrating, radiant, medium coverage, natural finish, second-skin, non-drying, fine lines, cruelty-free, plumping, moisturizing, buildable, smooth, matte"
basma,"long-wearing, antioxidant, hydrating, vegan, gluten-free, vitamin e, cruelty-free, sheer, collagen, buildable, radiant, nourishing"
biossance,"peptide, hyaluronic acid, hydrating, vegan, squalane, cruelty-free, collagen, clean, smooth, nourishing"
dr. barbara sturm,"wrinkles, hyaluronic acid, sensitive skin, gluten-free, fine lines, cruelty-free, fragrance-free, shimmer"
macrene actives,"wrinkles, peptide, hyaluronic acid, vegan, gluten-free, fine lines, cruelty-free, moisturizing, uneven texture, clean"
iris&romeo,"glowy, wrinkles, antioxidant, ceramide, vitamin c, fine lines, dewy, cruelty-free, uneven texture, buildable, weightless, vegan, spf, soothing, sunscreen, protection, collagen, hydrating, clean, hyaluronic acid, medium coverage, niacinamide, second-skin, peptide, light coverage, sheer, smooth"
mango people,"long-wearing, smooth, radiant, vegan, gluten-free, dewy, soothing, cruelty-free, moisturizing, hydrating, clean"
eadem,"wrinkles, peptide, non-sticky, gluten-free, fine lines, cruelty-free, moisturizing, collagen, clean, smooth, aha"
the inkey list,"hyaluronic acid, vegan, fine lines, cruelty-free, plumping"
fresh,"wrinkles, conditioning, hyaluronic acid, shea butter, smooth, clean, ceramide, vitamin c, fine lines, soothing, moisturizing, uneven texture, sheer, dry skin, buildable, hydrating, nourishing"
clarins,"peptide, shea butter, smooth, sheer, plumping, protection, hydrating, nourishing, shimmer"
freck beauty,"conditioning, antioxidant, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, uneven texture, buildable, nourishing, vegan, soothing, full coverage, lanolin, protection, collagen, blurring, hydrating, clean, matte, beeswax, transfer-proof, longwearing, radiant, peptide, shea butter, gluten-free, smooth"
fashion fair,"conditioning, antioxidant, castor oil, vitamin c, squalane, fine lines, cruelty-free, buildable, nourishing, weightless, long-wearing, vegan, oily skin, protection, collagen, hydrating, matte, hyaluronic acid, transfer-proof, medium coverage, niacinamide, second-skin, shea butter, gluten-free, sheer, smooth"
youth to the people,"antioxidant, niacinamide, dewy, cruelty-free, smooth, clean"
simihaze beauty,"conditioning, hyaluronic acid, antioxidant, shimmer, smooth, vegan, gluten-free, weightless, soothing, cruelty-free, sheer, dewy, hydrating, nourishing, matte"
paula's choice,"wrinkles, vegan, gluten-free, fine lines, cruelty-free, sheer, collagen, smooth"
